"lt_desc";"year";"date_ref";"sex";"age";"mx";"qx";"ax";"lx";"Lx";"Tx";"Sx";"ex"
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";0;0.153183301083201;0.138619030089713;0.31411;1;0.904922593451767;48.4876284598648;0.904922593451767;48.4876284598648
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";1;0.0360424184627648;0.0354043885686599;0.5;0.861380969910287;0.84613263662811;47.5827058664131;0.935033164992151;55.2400244822785
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";2;0.0263026326794056;0.0259612086123831;0.5;0.830884303345934;0.820098922979975;46.736573229785;0.969232112648578;56.249195034229
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";3;0.0192755895037861;0.0190915886904995;0.5;0.809313542614016;0.801588001975397;45.916474306805;0.977428429076196;56.7350870695906
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";4;0.0142488038751881;0.0141480077811391;0.5;0.793862461336778;0.788246675196704;45.1148863048296;0.983356379155109;56.829600216719
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";5;0.0106800320116345;0.0106233034014362;0.5;0.782630889056631;0.778473826363739;44.3266396296329;0.987601788703356;56.6379889286806
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";6;0.00816541498991153;0.00813221354073818;0.5;0.774316763670846;0.771168309035674;43.5481658032692;0.990615590299049;56.2407632721497
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";7;0.00640782375965833;0.00638735922356122;0.5;0.768019854400502;0.76556704505006;42.7769974942335;0.992736651752951;55.6977755837109
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";8;0.00518860850459565;0.00517518250661233;0.5;0.763114235699618;0.761139607978049;42.0114304491834;0.994216787281221;55.0526100599704
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";9;0.00435729269083036;0.00434782032796232;0.5;0.759164980256479;0.757514623789761;41.2502908412054;0.995237425368104;54.3363984298501
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";10;0.00381118589550529;0.00380393713971815;0.5;0.755864267323043;0.754426637243515;40.4927762174156;0.995923528801599;53.571491560018
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";11;0.00348251914591513;0.00347646571670585;0.5;0.752989007163987;0.751680136929756;39.7383495801721;0.996359486558171;52.7741430513578
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";12;0.00331964719545914;0.00331414629722867;0.5;0.750371266695525;0.749127846617992;38.9866694432423;0.996604552672911;51.9565062971179
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";13;0.00329133527072443;0.00328592772581392;0.5;0.747884426540459;0.746655679454022;38.2375415966243;0.996699939569553;51.1276077421513
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";14;0.00336360931725298;0.00335796188131749;0.5;0.745426932367585;0.744175374755486;37.4908859171703;0.996678114468573;50.2945148468057
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";15;0.00350690979090192;0.00350077134624699;0.5;0.742923817143387;0.741623413937637;36.7467105424148;0.996570753475029;49.4622862997036
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";16;0.0036856838186647;0.00367890417986163;0.5;0.740323010731887;0.738961222022573;36.0050871284772;0.99641031841089;48.6342942290587
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";17;0.00386050837132967;0.00385307096497187;0.5;0.737599433313258;0.736178421833119;35.2661259064546;0.996234172908509;47.8120295565318
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";18;0.0040083214393747;0.0040003041868566;0.5;0.734757410352979;0.7332877837805;34.5299474846215;0.996073454522857;46.995031282547
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";19;0.00411421329430379;0.00410576729311346;0.5;0.73181815720802;0.730315819680835;33.796659700841;0.995947069942522;46.18177257282
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";20;0.00418713631785595;0.0041783885765764;0.5;0.728813482153649;0.727290849189506;33.0663438811602;0.995857996760017;45.3701045478041
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";21;0.00424987461506927;0.00424086304696463;0.5;0.725768216225363;0.724229274420938;32.3390530319707;0.995790439585511;44.5583759511575
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";22;0.00432202752010774;0.00431270769942619;0.5;0.722690332616512;0.721131956535624;31.6148237575497;0.995723290959496;43.7460172506913
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";23;0.004428757885013;0.00441897260512869;0.5;0.719573580454736;0.717983692485034;30.8936918010141;0.995634274667684;42.9333325182545
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";24;0.00458176434018948;0.00457129204874072;0.5;0.716393804515332;0.714756381864158;30.1757081085291;0.995505036319549;42.1216765392662
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";25;0.00478811002034815;0.00477667439907108;0.5;0.713118959212984;0.711415790675001;29.4609517266649;0.995326252029476;41.312815128599
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";26;0.00504752222082673;0.0050348155491457;0.5;0.709712622137019;0.707925986064339;28.7495359359899;0.995094564027948;40.508700337641
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";27;0.00535514145961441;0.00534084098013345;0.5;0.706139349991659;0.704253661002598;28.0416099499256;0.994812557902901;39.71115609158
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";28;0.00569679506938388;0.0056806144212708;0.5;0.702367972013538;0.700373031198109;27.337356288923;0.994489727183008;38.9217011284735
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";29;0.00605312567990474;0.00603486079447989;0.5;0.69837809038268;0.696270783103992;26.6369832577249;0.994142766909373;38.1412069257915
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";30;0.00639753293112302;0.00637713396883711;0.5;0.694163475825305;0.6919500890845;25.9407124746209;0.993794520573977;37.3697455686205
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";31;0.00669831955118437;0.00667596069217072;0.5;0.689736702343694;0.687434374787297;25.2487623855364;0.993473930607947;36.6063779116614
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";32;0.00693691008204527;0.00691293288513158;0.5;0.6851320472309;0.68276391130092;24.5613280107491;0.993205950040217;35.8490426918704
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";33;0.00710514080590573;0.00707998864778238;0.5;0.68039577537094;0.677987178188127;23.8785640994482;0.993003828946244;35.095109293455
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";34;0.00722075165274946;0.00719477580809573;0.5;0.675578581005314;0.673148262789772;23.20057692126;0.992862821666795;34.3417887623609
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";35;0.00732077054080031;0.00729407142917969;0.5;0.67071794457423;0.668271812275951;22.5274286584703;0.992755755628617;33.5870373540857
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";36;0.00744509055909199;0.00741747865892408;0.5;0.665825679977673;0.663356306091774;21.8591568461943;0.992644450814951;32.830149847821
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";37;0.00763502973355929;0.00760599373938257;0.5;0.660886932205875;0.658373581271476;21.1958005401025;0.992488614678808;32.0717501091394
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";38;0.00790981369360672;0.00787865434957598;0.5;0.655860230337077;0.653276582308848;20.5374269588311;0.992258196398487;31.3137251031
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";39;0.00826905625034463;0.00823500837660055;0.5;0.650692934280618;0.64801370339842;19.8841503765222;0.991943873310402;30.5584236879803
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";40;0.00868851905916725;0.00865093714304375;0.5;0.645334472516222;0.642543098537234;19.2361366731238;0.991557887074769;29.8080104075646
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";41;0.00912101592195064;0.00907960829603404;0.5;0.639751724558245;0.636847377025395;18.5935935745866;0.991135658409832;29.0637646775014
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";42;0.00952510905184568;0.00947996022437352;0.5;0.633943029492544;0.63093815214049;17.9567461975612;0.990721128643874;28.3254888249739
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";43;0.00986844360993488;0.00981998960311066;0.5;0.627933274788436;0.624850125673501;17.3258080454207;0.990350834790486;27.5917979521918
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";44;0.0101491762835264;0.0100979334302848;0.5;0.621766976558566;0.618627695789347;16.7009579197472;0.990041724201549;26.8604775573411
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";45;0.0103951108725306;0.0103413610750566;0.5;0.615488415020128;0.61230592105151;16.0823302239578;0.989780970394849;26.1293792563616
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";46;0.0106487319241221;0.0105923344590695;0.5;0.609123427082891;0.605897407549633;15.4700243029063;0.989533804456975;25.397191464122
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";47;0.0109582022012617;0.0108984882821199;0.5;0.602671388016374;0.599387284486242;14.8641268953567;0.989255403666903;24.6637341525044
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";48;0.0113567799610887;0.0112926558572154;0.5;0.596103180956109;0.592737386917145;14.2647396108704;0.98890550777233;23.9299840473771
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";49;0.0118539425079653;0.0117840984949317;0.5;0.58937159287818;0.585898986427885;13.6720022239533;0.988463018125401;23.1975928075977
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";50;0.012444251044479;0.012367300150571;0.5;0.582426379977589;0.578824859049192;13.0861032375254;0.987926028986973;22.4682529627675
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";51;0.013096144454629;0.0130109478285021;0.5;0.575223338120796;0.571481237699782;12.5072783784762;0.987312878438786;21.743343062777
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";52;0.0137846882414681;0.0136903297775151;0.5;0.567739137278769;0.563852869270295;11.9357971407764;0.986651585518027;21.0233826718128
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";53;0.0144957015142565;0.0143913948323249;0.5;0.559966601261821;0.555937251035984;11.3719442715061;0.985961553685884;20.3082545385399
