"lt_desc";"year";"date_ref";"sex";"age";"mx";"qx";"ax";"lx";"dx";"Lx";"Sx";"Tx";"ex"
"TABMORT CELADE 1950-1962";1950;1950.5;"m";0;0.172962;0.155;0.33;1;0.155;0.89615;0.89615;46.076578;46.076578
"TABMORT CELADE 1950-1962";1950;1950.5;"m";1;0.030735;0.030269;0.5;0.845;0.025578;0.832211;0.928652;45.180428;53.467962
"TABMORT CELADE 1950-1962";1950;1950.5;"m";2;0.023133;0.022868;0.5;0.819422;0.018739;0.810053;0.973374;44.348217;54.121318
"TABMORT CELADE 1950-1962";1950;1950.5;"m";3;0.017468;0.017317;0.5;0.800683;0.013866;0.793751;0.979875;43.538164;54.376249
"TABMORT CELADE 1950-1962";1950;1950.5;"m";4;0.013283;0.013195;0.5;0.786818;0.010382;0.781627;0.984726;42.744413;54.325672
"TABMORT CELADE 1950-1962";1950;1950.5;"m";5;0.010215;0.010163;0.5;0.776436;0.007891;0.77249;0.988311;41.962786;54.045411
"TABMORT CELADE 1950-1962";1950;1950.5;"m";6;0.007988;0.007956;0.5;0.768545;0.006114;0.765488;0.990935;41.190296;53.595173
"TABMORT CELADE 1950-1962";1950;1950.5;"m";7;0.006387;0.006367;0.5;0.762431;0.004854;0.760003;0.992835;40.424808;53.020973
"TABMORT CELADE 1950-1962";1950;1950.5;"m";8;0.005254;0.005241;0.5;0.757576;0.00397;0.755591;0.994194;39.664805;52.357514
"TABMORT CELADE 1950-1962";1950;1950.5;"m";9;0.004473;0.004463;0.5;0.753606;0.003363;0.751924;0.995147;38.909214;51.630712
"TABMORT CELADE 1950-1962";1950;1950.5;"m";10;0.003961;0.003953;0.5;0.750243;0.002965;0.74876;0.995792;38.157289;50.859921
"TABMORT CELADE 1950-1962";1950;1950.5;"m";11;0.003663;0.003656;0.5;0.747277;0.002732;0.745911;0.996195;37.408529;50.059768
"TABMORT CELADE 1950-1962";1950;1950.5;"m";12;0.003537;0.003531;0.5;0.744545;0.002629;0.743231;0.996406;36.662618;49.241637
"TABMORT CELADE 1950-1962";1950;1950.5;"m";13;0.003555;0.003549;0.5;0.741916;0.002633;0.7406;0.99646;35.919387;48.414338
"TABMORT CELADE 1950-1962";1950;1950.5;"m";14;0.003687;0.00368;0.5;0.739283;0.002721;0.737923;0.996386;35.178788;47.584987
"TABMORT CELADE 1950-1962";1950;1950.5;"m";15;0.0039;0.003893;0.5;0.736563;0.002867;0.735129;0.996214;34.440865;46.758897
"TABMORT CELADE 1950-1962";1950;1950.5;"m";16;0.004157;0.004148;0.5;0.733696;0.003043;0.732174;0.99598;33.705735;45.939664
"TABMORT CELADE 1950-1962";1950;1950.5;"m";17;0.004409;0.0044;0.5;0.730652;0.003215;0.729045;0.995726;32.973561;45.128931
"TABMORT CELADE 1950-1962";1950;1950.5;"m";18;0.004628;0.004618;0.5;0.727438;0.003359;0.725758;0.995492;32.244516;44.326152
"TABMORT CELADE 1950-1962";1950;1950.5;"m";19;0.004794;0.004783;0.5;0.724079;0.003463;0.722347;0.9953;31.518758;43.529459
"TABMORT CELADE 1950-1962";1950;1950.5;"m";20;0.004917;0.004905;0.5;0.720616;0.003535;0.718848;0.995156;30.796411;42.736245
"TABMORT CELADE 1950-1962";1950;1950.5;"m";21;0.005024;0.005012;0.5;0.717081;0.003594;0.715284;0.995042;30.077562;41.944442
"TABMORT CELADE 1950-1962";1950;1950.5;"m";22;0.005141;0.005128;0.5;0.713487;0.003659;0.711658;0.99493;29.362278;41.153193
"TABMORT CELADE 1950-1962";1950;1950.5;"m";23;0.005293;0.005279;0.5;0.709828;0.003747;0.707955;0.994797;28.65062;40.362743
"TABMORT CELADE 1950-1962";1950;1950.5;"m";24;0.005489;0.005474;0.5;0.706081;0.003865;0.704149;0.994624;27.942666;39.574303
"TABMORT CELADE 1950-1962";1950;1950.5;"m";25;0.005725;0.005709;0.5;0.702216;0.004009;0.700212;0.994409;27.238517;38.789353
"TABMORT CELADE 1950-1962";1950;1950.5;"m";26;0.005993;0.005975;0.5;0.698207;0.004172;0.696121;0.994158;26.538305;38.009205
"TABMORT CELADE 1950-1962";1950;1950.5;"m";27;0.006273;0.006253;0.5;0.694035;0.00434;0.691866;0.993886;25.842184;37.234674
"TABMORT CELADE 1950-1962";1950;1950.5;"m";28;0.006549;0.006528;0.5;0.689696;0.004502;0.687444;0.99361;25.150318;36.465826
"TABMORT CELADE 1950-1962";1950;1950.5;"m";29;0.006811;0.006788;0.5;0.685193;0.004651;0.682868;0.993343;24.462874;35.702156
"TABMORT CELADE 1950-1962";1950;1950.5;"m";30;0.007051;0.007026;0.5;0.680542;0.004782;0.678151;0.993093;23.780006;34.942731
"TABMORT CELADE 1950-1962";1950;1950.5;"m";31;0.007271;0.007245;0.5;0.675761;0.004896;0.673313;0.992865;23.101855;34.18645
"TABMORT CELADE 1950-1962";1950;1950.5;"m";32;0.007474;0.007446;0.5;0.670865;0.004995;0.668367;0.992655;22.428542;33.432277
"TABMORT CELADE 1950-1962";1950;1950.5;"m";33;0.007668;0.007638;0.5;0.665869;0.005086;0.663326;0.992458;21.760175;32.679341
"TABMORT CELADE 1950-1962";1950;1950.5;"m";34;0.00786;0.007829;0.5;0.660783;0.005173;0.658197;0.992267;21.096848;31.927032
"TABMORT CELADE 1950-1962";1950;1950.5;"m";35;0.00806;0.008028;0.5;0.65561;0.005263;0.652978;0.992072;20.438652;31.175019
"TABMORT CELADE 1950-1962";1950;1950.5;"m";36;0.008279;0.008245;0.5;0.650347;0.005362;0.647666;0.991864;19.785674;30.423274
"TABMORT CELADE 1950-1962";1950;1950.5;"m";37;0.008526;0.00849;0.5;0.644985;0.005476;0.642247;0.991633;19.138008;29.672043
"TABMORT CELADE 1950-1962";1950;1950.5;"m";38;0.008809;0.00877;0.5;0.639509;0.005609;0.636705;0.991371;18.495761;28.921821
"TABMORT CELADE 1950-1962";1950;1950.5;"m";39;0.009135;0.009093;0.5;0.6339;0.005764;0.631018;0.991069;17.859057;28.173286
"TABMORT CELADE 1950-1962";1950;1950.5;"m";40;0.009509;0.009464;0.5;0.628136;0.005945;0.625164;0.990722;17.228038;27.427231
"TABMORT CELADE 1950-1962";1950;1950.5;"m";41;0.009934;0.009885;0.5;0.622192;0.00615;0.619116;0.990326;16.602874;26.684505
"TABMORT CELADE 1950-1962";1950;1950.5;"m";42;0.010411;0.010357;0.5;0.616041;0.00638;0.612851;0.98988;15.983758;25.945924
"TABMORT CELADE 1950-1962";1950;1950.5;"m";43;0.010935;0.010876;0.5;0.609661;0.006631;0.606346;0.989385;15.370907;25.21222
"TABMORT CELADE 1950-1962";1950;1950.5;"m";44;0.011501;0.011435;0.5;0.60303;0.006896;0.599583;0.988846;14.764561;24.483938
"TABMORT CELADE 1950-1962";1950;1950.5;"m";45;0.012097;0.012024;0.5;0.596135;0.007168;0.592551;0.988272;14.164979;23.761377
"TABMORT CELADE 1950-1962";1950;1950.5;"m";46;0.012711;0.012631;0.5;0.588966;0.007439;0.585247;0.987674;13.572428;23.044483
"TABMORT CELADE 1950-1962";1950;1950.5;"m";47;0.013337;0.013249;0.5;0.581527;0.007705;0.577675;0.987062;12.987181;22.332889
"TABMORT CELADE 1950-1962";1950;1950.5;"m";48;0.013974;0.013877;0.5;0.573823;0.007963;0.569841;0.986439;12.409506;21.626032
"TABMORT CELADE 1950-1962";1950;1950.5;"m";49;0.014638;0.014532;0.5;0.56586;0.008223;0.561748;0.985798;11.839665;20.923318
"TABMORT CELADE 1950-1962";1950;1950.5;"m";50;0.015355;0.015238;0.5;0.557637;0.008497;0.553388;0.985118;11.277917;20.224479
"TABMORT CELADE 1950-1962";1950;1950.5;"m";51;0.016163;0.016034;0.5;0.54914;0.008805;0.544737;0.984367;10.724529;19.529696
"TABMORT CELADE 1950-1962";1950;1950.5;"m";52;0.017101;0.016956;0.5;0.540335;0.009162;0.535754;0.983509;10.179791;18.839785
"TABMORT CELADE 1950-1962";1950;1950.5;"m";53;0.018192;0.018028;0.5;0.531173;0.009576;0.526385;0.982512;9.644038;18.156118
"TABMORT CELADE 1950-1962";1950;1950.5;"m";54;0.019452;0.019265;0.5;0.521597;0.010049;0.516572;0.981359;9.117653;17.480271
"TABMORT CELADE 1950-1962";1950;1950.5;"m";55;0.020868;0.020653;0.5;0.511548;0.010565;0.506266;0.980048;8.60108;16.813824
"TABMORT CELADE 1950-1962";1950;1950.5;"m";56;0.022416;0.022168;0.5;0.500983;0.011106;0.49543;0.978598;8.094815;16.157857
"TABMORT CELADE 1950-1962";1950;1950.5;"m";57;0.024071;0.023784;0.5;0.489878;0.011651;0.484052;0.977033;7.599384;15.512821
"TABMORT CELADE 1950-1962";1950;1950.5;"m";58;0.025811;0.025482;0.5;0.478226;0.012186;0.472133;0.975377;7.115332;14.87859
"TABMORT CELADE 1950-1962";1950;1950.5;"m";59;0.027656;0.027279;0.5;0.46604;0.012713;0.459684;0.973631;6.643199;14.25457
"TABMORT CELADE 1950-1962";1950;1950.5;"m";60;0.029644;0.029211;0.5;0.453327;0.013242;0.446706;0.971769;6.183516;13.640296
"TABMORT CELADE 1950-1962";1950;1950.5;"m";61;0.031846;0.031347;0.5;0.440085;0.013795;0.433187;0.969737;5.73681;13.035683
"TABMORT CELADE 1950-1962";1950;1950.5;"m";62;0.034352;0.033772;0.5;0.42629;0.014397;0.419091;0.96746;5.303622;12.441358
"TABMORT CELADE 1950-1962";1950;1950.5;"m";63;0.037226;0.036546;0.5;0.411893;0.015053;0.404367;0.964865;4.884531;11.858738
"TABMORT CELADE 1950-1962";1950;1950.5;"m";64;0.040522;0.039717;0.5;0.39684;0.015761;0.388959;0.961898;4.480164;11.289597
"TABMORT CELADE 1950-1962";1950;1950.5;"m";65;0.044244;0.043287;0.5;0.381079;0.016496;0.372831;0.958534;4.091205;10.735851
"TABMORT CELADE 1950-1962";1950;1950.5;"m";66;0.048369;0.047226;0.5;0.364583;0.017218;0.355974;0.954787;3.718374;10.198974
"TABMORT CELADE 1950-1962";1950;1950.5;"m";67;0.052868;0.051506;0.5;0.347365;0.017891;0.338419;0.950685;3.3624;9.679727
"TABMORT CELADE 1950-1962";1950;1950.5;"m";68;0.057712;0.056094;0.5;0.329474;0.018481;0.320233;0.946261;3.02398;9.178214
"TABMORT CELADE 1950-1962";1950;1950.5;"m";69;0.062934;0.061014;0.5;0.310992;0.018975;0.301505;0.941517;2.703747;8.693935
"TABMORT CELADE 1950-1962";1950;1950.5;"m";70;0.068609;0.066334;0.5;0.292017;0.019371;0.282332;0.93641;2.402242;8.226369
"TABMORT CELADE 1950-1962";1950;1950.5;"m";71;0.074858;0.072157;0.5;0.272647;0.019673;0.26281;0.930855;2.11991;7.7753
"TABMORT CELADE 1950-1962";1950;1950.5;"m";72;0.081837;0.07862;0.5;0.252973;0.019889;0.243029;0.924733;1.8571;7.341089
"TABMORT CELADE 1950-1962";1950;1950.5;"m";73;0.089655;0.085808;0.5;0.233085;0.020001;0.223084;0.917933;1.614071;6.924827
"TABMORT CELADE 1950-1962";1950;1950.5;"m";74;0.098378;0.093766;0.5;0.213084;0.01998;0.203094;0.910391;1.390987;6.527876
"TABMORT CELADE 1950-1962";1950;1950.5;"m";75;0.107985;0.102453;0.5;0.193104;0.019784;0.183212;0.902104;1.187893;6.151568
"TABMORT CELADE 1950-1962";1950;1950.5;"m";76;0.118361;0.111747;0.5;0.17332;0.019368;0.163636;0.893151;1.004681;5.796681
"TABMORT CELADE 1950-1962";1950;1950.5;"m";77;0.129394;0.121531;0.5;0.153952;0.01871;0.144597;0.88365;0.841045;5.463034
"TABMORT CELADE 1950-1962";1950;1950.5;"m";78;0.140976;0.131693;0.5;0.135242;0.01781;0.126337;0.873716;0.696448;5.149643
"TABMORT CELADE 1950-1962";1950;1950.5;"m";79;0.153094;0.142208;0.5;0.117431;0.0167;0.109082;0.86342;0.570111;4.85484
"TABMORT CELADE 1950-1962";1950;1950.5;"m";80;0.165843;0.153144;0.5;0.100732;0.015426;0.093019;0.852743;0.461029;4.576802
"TABMORT CELADE 1950-1962";1950;1950.5;"m";81;0.179373;0.16461;0.5;0.085305;0.014042;0.078284;0.841598;0.368011;4.314042
"TABMORT CELADE 1950-1962";1950;1950.5;"m";82;0.193892;0.176756;0.5;0.071263;0.012596;0.064965;0.829862;0.289727;4.065583
"TABMORT CELADE 1950-1962";1950;1950.5;"m";83;0.209537;0.189666;0.5;0.058667;0.011127;0.053103;0.817415;0.224761;3.831138
"TABMORT CELADE 1950-1962";1950;1950.5;"m";84;0.226355;0.203341;0.5;0.04754;0.009667;0.042706;0.804213;0.171658;3.610822
"TABMORT CELADE 1950-1962";1950;1950.5;"m";85;0.2443;0.217707;0.5;0.037873;0.008245;0.03375;0.790289;0.128952;3.404837
"TABMORT CELADE 1950-1962";1950;1950.5;"m";86;0.263212;0.232601;0.5;0.029628;0.006891;0.026182;0.775756;0.095201;3.213235
"TABMORT CELADE 1950-1962";1950;1950.5;"m";87;0.282931;0.247866;0.5;0.022736;0.005636;0.019919;0.760771;0.069019;3.035624
"TABMORT CELADE 1950-1962";1950;1950.5;"m";88;0.303326;0.263381;0.5;0.017101;0.004504;0.014849;0.745474;0.0491;2.87124
"TABMORT CELADE 1950-1962";1950;1950.5;"m";89;0.324319;0.279066;0.5;0.012597;0.003515;0.010839;0.729966;0.034252;2.719085
"TABMORT CELADE 1950-1962";1950;1950.5;"m";90;0.345924;0.294915;0.5;0.009081;0.002678;0.007742;0.714295;0.023413;2.578069
"TABMORT CELADE 1950-1962";1950;1950.5;"m";91;0.368167;0.31093;0.5;0.006403;0.001991;0.005408;0.698462;0.01567;2.447261
"TABMORT CELADE 1950-1962";1950;1950.5;"m";92;0.391066;0.327106;0.5;0.004412;0.001443;0.003691;0.682471;0.010263;2.325925
"TABMORT CELADE 1950-1962";1950;1950.5;"m";93;0.414597;0.343409;0.5;0.002969;0.00102;0.002459;0.666336;0.006572;2.213541
"TABMORT CELADE 1950-1962";1950;1950.5;"m";94;0.438636;0.359739;0.5;0.001949;0.000701;0.001599;0.650119;0.004113;2.109753
"TABMORT CELADE 1950-1962";1950;1950.5;"m";95;0.463021;0.375978;0.5;0.001248;0.000469;0.001013;0.633922;0.002514;2.014212
